-	-	.DS_Store
-	-	.coverage
5	0	arxiv_paper/FIRM_FINAL_SUBMISSION/main.tex
-	-	constants/__pycache__/central_physics_constants.cpython-312.pyc
-	-	constants/__pycache__/central_physics_constants.cpython-313.pyc
-	-	constants/__pycache__/cosmological_constant_derivation.cpython-312.pyc
-	-	constants/__pycache__/cosmological_constant_derivation.cpython-313.pyc
-	-	constants/__pycache__/fine_structure_alpha.cpython-312.pyc
-	-	constants/__pycache__/fine_structure_alpha.cpython-313.pyc
-	-	constants/__pycache__/hubble_constant_derivation.cpython-312.pyc
-	-	constants/__pycache__/hubble_constant_derivation.cpython-313.pyc
-	-	constants/__pycache__/kelvin_scaling_factor.cpython-313.pyc
36	25	cosmology/__init__.py
-	-	cosmology/__pycache__/__init__.cpython-312.pyc
-	-	cosmology/__pycache__/__init__.cpython-313.pyc
-	-	cosmology/__pycache__/cmb_power_spectrum.cpython-313.pyc
-	-	cosmology/__pycache__/cmb_temperature.cpython-312.pyc
-	-	cosmology/__pycache__/ex_nihilo_pipeline.cpython-312.pyc
-	-	cosmology/__pycache__/ex_nihilo_pipeline.cpython-313.pyc
-	-	cosmology/__pycache__/inflation_theory.cpython-313.pyc
-	-	figures/__pycache__/__init__.cpython-313.pyc
-	-	figures/__pycache__/cmb_predictions.cpython-313.pyc
-	-	figures/__pycache__/comparison_plots.cpython-313.pyc
-	-	figures/__pycache__/consciousness_correlations.cpython-313.pyc
-	-	figures/__pycache__/generator.cpython-313.pyc
-	-	figures/__pycache__/particle_masses.cpython-313.pyc
-	-	figures/__pycache__/phi_emergence.cpython-313.pyc
-	-	figures/__pycache__/provenance_graph.cpython-313.pyc
82	74	figures/cmb_planck_tt_comparison.py
-	-	figures/planck_tt_binned.png
114	0	firm_falsification_log.txt
-	-	foundation/topology/__pycache__/manifold_progression.cpython-312.pyc
-	-	foundation/topology/__pycache__/manifold_progression.cpython-313.pyc
-	-	structures/__pycache__/particle_spectrum.cpython-312.pyc
-	-	structures/__pycache__/particle_spectrum.cpython-313.pyc
-	-	testing/mathematical/__pycache__/test_axiom_consistency.cpython-313.pyc
